Player,Team,Mat,Inns,Dis,Ct,St,Max Dis Inns,Dis/Inn
Rishabh Pant,India,8,8,14,13,1,3,1.75
Litton Das,Bangladesh,7,7,8,4,4,2,1.142
Nicholas Pooran,West Indies,7,7,8,8,0,2,1.142
Quinton de Kock,South africa,9,9,8,6,2,1,0.888
Jos Buttler,England,8,8,7,5,2,2,0.875
Devon Conway,New Zealand,4,4,6,5,1,3,1.5
Rahmanullah Gurbaz,Afghanistan,8,8,6,6,0,2,0.75
Shreyas Movva,Canada,3,3,5,5,0,2,1.666
Mohammad Rizwan,Pakistan,4,3,4,4,0,2,1.333
Zane Green,Namibia,4,4,4,3,1,2,1
Matthew Cross,Scotland,4,3,3,2,1,2,1
Kiplin Doriga,Papua New Guinea,4,4,3,3,0,2,0.75
Matthew Wade,Australia,7,7,3,3,0,2,0.428
Aasif Sheikh,Nepal,3,3,2,1,1,1,0.666
Kusal Mendis,Sri Lanka,3,3,2,0,2,2,0.666
Lorcan Tucker,Ireland,3,3,2,2,0,2,0.666
Scott Edwards,Netherlands,4,4,2,2,0,1,0.5
Andries Gous,United States of America,6,4,1,1,0,1,0.25
Simon Ssesazi,Uganda,4,4,1,1,0,1,0.25
Azam Khan,Pakistan,1,1,0,0,0,0,0
Naseem Khushi,Oman,2,1,0,0,0,0,0
Monank Patel,United States of America,2,2,0,0,0,0,0
Pratik Athavale,Oman,3,3,0,0,0,0,0
